joint id: 0, measured_angle: -0.000716, target_angle: -0.000416, newest_measurement_index: 11190, sent_torque: 0.000000, measured_torque: -0.000211
joint id: 1, measured_angle: 0.107235, target_angle: 0.107535, newest_measurement_index: 11243, sent_torque: 0.000000, measured_torque: 0.000221
joint id: 2, measured_angle: -0.003262, target_angle: -0.003562, newest_measurement_index: 11243, sent_torque: 0.000000, measured_torque: 0.003232
joint id: 3, measured_angle: -0.001972, target_angle: -0.001672, newest_measurement_index: 11300, sent_torque: 0.000000, measured_torque: -0.009177
joint id: 4, measured_angle: -0.107335, target_angle: -0.107035, newest_measurement_index: 11394, sent_torque: 0.000000, measured_torque: 0.000866
joint id: 5, measured_angle: -0.002355, target_angle: -0.002655, newest_measurement_index: 11394, sent_torque: 0.000000, measured_torque: 0.004498
joint id: 6, measured_angle: -0.059103, target_angle: -0.058803, newest_measurement_index: 10913, sent_torque: 0.000000, measured_torque: -0.009717
joint id: 7, measured_angle: -0.040922, target_angle: -0.040622, newest_measurement_index: 10978, sent_torque: 0.000000, measured_torque: 0.009721
joint id: 8, measured_angle: -0.000298, target_angle: -0.000598, newest_measurement_index: 10978, sent_torque: 0.000000, measured_torque: -0.001686
joint id: 0, measured_angle: -0.000716, target_angle: -0.000116, newest_measurement_index: 11190, sent_torque: 0.000900, measured_torque: -0.000211
joint id: 1, measured_angle: 0.107235, target_angle: 0.107835, newest_measurement_index: 11243, sent_torque: 0.000900, measured_torque: 0.000221
joint id: 2, measured_angle: -0.003262, target_angle: -0.003862, newest_measurement_index: 11243, sent_torque: -0.000900, measured_torque: 0.003232
joint id: 3, measured_angle: -0.001972, target_angle: -0.001372, newest_measurement_index: 11301, sent_torque: 0.000900, measured_torque: 0.000904
joint id: 4, measured_angle: -0.107335, target_angle: -0.106735, newest_measurement_index: 11394, sent_torque: 0.000900, measured_torque: 0.000866
joint id: 5, measured_angle: -0.002355, target_angle: -0.002955, newest_measurement_index: 11394, sent_torque: -0.000900, measured_torque: 0.004498
joint id: 6, measured_angle: -0.059103, target_angle: -0.058503, newest_measurement_index: 10913, sent_torque: 0.001800, measured_torque: 0.001063
joint id: 7, measured_angle: -0.040922, target_angle: -0.040322, newest_measurement_index: 10979, sent_torque: 0.001800, measured_torque: 0.004431
joint id: 8, measured_angle: -0.000298, target_angle: -0.000898, newest_measurement_index: 10979, sent_torque: -0.000900, measured_torque: -0.001775
joint id: 0, measured_angle: -0.000716, target_angle: 0.000184, newest_measurement_index: 11191, sent_torque: 0.001800, measured_torque: -0.004767
joint id: 1, measured_angle: 0.107200, target_angle: 0.108135, newest_measurement_index: 11244, sent_torque: 0.001800, measured_torque: 0.007034
joint id: 2, measured_angle: -0.003262, target_angle: -0.004162, newest_measurement_index: 11244, sent_torque: -0.001800, measured_torque: -0.003641
joint id: 3, measured_angle: -0.001972, target_angle: -0.001072, newest_measurement_index: 11302, sent_torque: 0.001800, measured_torque: -0.020428
joint id: 4, measured_angle: -0.107335, target_angle: -0.106435, newest_measurement_index: 11395, sent_torque: 0.001800, measured_torque: 0.001605
joint id: 5, measured_angle: -0.002355, target_angle: -0.003255, newest_measurement_index: 11395, sent_torque: -0.001800, measured_torque: 0.001894
joint id: 6, measured_angle: -0.059103, target_angle: -0.058203, newest_measurement_index: 10914, sent_torque: 0.003600, measured_torque: 0.001063
joint id: 7, measured_angle: -0.040922, target_angle: -0.040022, newest_measurement_index: 10980, sent_torque: 0.003600, measured_torque: 0.001413
joint id: 8, measured_angle: -0.000298, target_angle: -0.001198, newest_measurement_index: 10980, sent_torque: -0.001800, measured_torque: 0.000749
joint id: 0, measured_angle: -0.000716, target_angle: 0.000484, newest_measurement_index: 11191, sent_torque: 0.002700, measured_torque: -0.004767
joint id: 1, measured_angle: 0.107200, target_angle: 0.108435, newest_measurement_index: 11245, sent_torque: 0.004086, measured_torque: -0.000679
joint id: 2, measured_angle: -0.003262, target_angle: -0.004462, newest_measurement_index: 11245, sent_torque: -0.002700, measured_torque: 0.001940
joint id: 3, measured_angle: -0.001972, target_angle: -0.000772, newest_measurement_index: 11303, sent_torque: 0.002700, measured_torque: -0.000264
joint id: 4, measured_angle: -0.107335, target_angle: -0.106135, newest_measurement_index: 11396, sent_torque: 0.002700, measured_torque: 0.006477
joint id: 5, measured_angle: -0.002355, target_angle: -0.003555, newest_measurement_index: 11396, sent_torque: -0.002700, measured_torque: -0.005457
joint id: 6, measured_angle: -0.059103, target_angle: -0.057903, newest_measurement_index: 10915, sent_torque: 0.005400, measured_torque: 0.001338
joint id: 7, measured_angle: -0.040922, target_angle: -0.039722, newest_measurement_index: 10981, sent_torque: 0.005400, measured_torque: -0.008101
joint id: 8, measured_angle: -0.000298, target_angle: -0.001498, newest_measurement_index: 10981, sent_torque: -0.002700, measured_torque: -0.001597
joint id: 0, measured_angle: -0.000716, target_angle: 0.000784, newest_measurement_index: 11193, sent_torque: 0.003600, measured_torque: 0.002494
joint id: 1, measured_angle: 0.107200, target_angle: 0.108735, newest_measurement_index: 11246, sent_torque: 0.003749, measured_torque: 0.000233
joint id: 2, measured_angle: -0.003262, target_angle: -0.004762, newest_measurement_index: 11246, sent_torque: -0.003600, measured_torque: 0.000442
joint id: 3, measured_angle: -0.001937, target_angle: -0.000472, newest_measurement_index: 11304, sent_torque: 0.003600, measured_torque: 0.000165
joint id: 4, measured_angle: -0.107335, target_angle: -0.105835, newest_measurement_index: 11397, sent_torque: 0.003600, measured_torque: 0.000563
joint id: 5, measured_angle: -0.002355, target_angle: -0.003855, newest_measurement_index: 11397, sent_torque: -0.003600, measured_torque: 0.007161
joint id: 6, measured_angle: -0.059103, target_angle: -0.057603, newest_measurement_index: 10916, sent_torque: 0.007200, measured_torque: 0.001201
joint id: 7, measured_angle: -0.040922, target_angle: -0.039422, newest_measurement_index: 10982, sent_torque: 0.007200, measured_torque: 0.005064
joint id: 8, measured_angle: -0.000298, target_angle: -0.001798, newest_measurement_index: 10982, sent_torque: -0.003600, measured_torque: -0.001686
