joint id: 0, measured_angle: -0.010987, target_angle: -0.010687, newest_measurement_index: 9965
joint id: 1, measured_angle: -0.010464, target_angle: -0.010164, newest_measurement_index: 10042
joint id: 2, measured_angle: 0.016808, target_angle: 0.016508, newest_measurement_index: 10042
joint id: 3, measured_angle: 0.001550, target_angle: 0.001850, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.001641, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.023114, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.023594, newest_measurement_index: 4993
joint id: 7, measured_angle: -0.021449, target_angle: -0.021149, newest_measurement_index: 5066
joint id: 8, measured_angle: -0.005215, target_angle: -0.005515, newest_measurement_index: 5066
joint id: 0, measured_angle: -0.010987, target_angle: -0.010387, newest_measurement_index: 9965
joint id: 1, measured_angle: -0.010429, target_angle: -0.009864, newest_measurement_index: 10043
joint id: 2, measured_angle: 0.016808, target_angle: 0.016208, newest_measurement_index: 10043
joint id: 3, measured_angle: 0.001550, target_angle: 0.002150, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.001941, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.022814, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.023894, newest_measurement_index: 4993
joint id: 7, measured_angle: -0.021449, target_angle: -0.020849, newest_measurement_index: 5066
joint id: 8, measured_angle: -0.005215, target_angle: -0.005815, newest_measurement_index: 5066
joint id: 0, measured_angle: -0.010987, target_angle: -0.010087, newest_measurement_index: 9966
joint id: 1, measured_angle: -0.010429, target_angle: -0.009564, newest_measurement_index: 10044
joint id: 2, measured_angle: 0.016808, target_angle: 0.015908, newest_measurement_index: 10044
joint id: 3, measured_angle: 0.001550, target_angle: 0.002450, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.002241, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.022514, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.024194, newest_measurement_index: 4993
joint id: 7, measured_angle: -0.021449, target_angle: -0.020549, newest_measurement_index: 5067
joint id: 8, measured_angle: -0.005215, target_angle: -0.006115, newest_measurement_index: 5067
joint id: 0, measured_angle: -0.010987, target_angle: -0.009787, newest_measurement_index: 9967
joint id: 1, measured_angle: -0.010429, target_angle: -0.009264, newest_measurement_index: 10045
joint id: 2, measured_angle: 0.016808, target_angle: 0.015608, newest_measurement_index: 10045
joint id: 3, measured_angle: 0.001550, target_angle: 0.002750, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.002541, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.022214, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.024494, newest_measurement_index: 4993
joint id: 7, measured_angle: -0.021449, target_angle: -0.020249, newest_measurement_index: 5067
joint id: 8, measured_angle: -0.005215, target_angle: -0.006415, newest_measurement_index: 5067
joint id: 0, measured_angle: -0.010987, target_angle: -0.009487, newest_measurement_index: 9968
joint id: 1, measured_angle: -0.010429, target_angle: -0.008964, newest_measurement_index: 10046
joint id: 2, measured_angle: 0.016808, target_angle: 0.015308, newest_measurement_index: 10046
joint id: 3, measured_angle: 0.001550, target_angle: 0.003050, newest_measurement_index: 5241
joint id: 4, measured_angle: 0.001341, target_angle: 0.002841, newest_measurement_index: 5264
joint id: 5, measured_angle: 0.023414, target_angle: 0.021914, newest_measurement_index: 5264
joint id: 6, measured_angle: 0.023294, target_angle: 0.024794, newest_measurement_index: 4993
