joint id: 0, measured_angle: 0.024654, target_angle: 0.024954, newest_measurement_index: 6018, sent_torque: 0.000000, measured_torque: 0.003438
joint id: 1, measured_angle: -0.020558, target_angle: -0.020258, newest_measurement_index: 6084, sent_torque: 0.000000, measured_torque: 0.009064
joint id: 2, measured_angle: -0.004622, target_angle: -0.004922, newest_measurement_index: 6084, sent_torque: 0.000000, measured_torque: -0.002338
joint id: 3, measured_angle: -0.009957, target_angle: -0.009657, newest_measurement_index: 6054, sent_torque: 0.000000, measured_torque: -0.000811
joint id: 4, measured_angle: -0.009155, target_angle: -0.008855, newest_measurement_index: 6131, sent_torque: 0.000000, measured_torque: 0.013649
joint id: 5, measured_angle: 0.016180, target_angle: 0.015880, newest_measurement_index: 6131, sent_torque: 0.000000, measured_torque: 0.004723
joint id: 6, measured_angle: 0.009326, target_angle: 0.009626, newest_measurement_index: 5744, sent_torque: 0.000000, measured_torque: 0.001374
joint id: 7, measured_angle: 0.002057, target_angle: 0.002357, newest_measurement_index: 5808, sent_torque: 0.000000, measured_torque: 0.000313
joint id: 8, measured_angle: 0.025421, target_angle: 0.025121, newest_measurement_index: 5808, sent_torque: 0.000000, measured_torque: -0.007335
joint id: 0, measured_angle: 0.024654, target_angle: 0.025254, newest_measurement_index: 6019, sent_torque: 0.000900, measured_torque: -0.004417
joint id: 1, measured_angle: -0.020558, target_angle: -0.019958, newest_measurement_index: 6085, sent_torque: 0.000779, measured_torque: 0.000498
joint id: 2, measured_angle: -0.004622, target_angle: -0.005222, newest_measurement_index: 6085, sent_torque: -0.000900, measured_torque: 0.007619
joint id: 3, measured_angle: -0.009957, target_angle: -0.009357, newest_measurement_index: 6054, sent_torque: 0.000900, measured_torque: -0.000811
joint id: 4, measured_angle: -0.009155, target_angle: -0.008555, newest_measurement_index: 6131, sent_torque: 0.000900, measured_torque: 0.013649
joint id: 5, measured_angle: 0.016180, target_angle: 0.015580, newest_measurement_index: 6131, sent_torque: -0.000900, measured_torque: 0.004723
joint id: 6, measured_angle: 0.009326, target_angle: 0.009926, newest_measurement_index: 5744, sent_torque: 0.001800, measured_torque: 0.001374
joint id: 7, measured_angle: 0.002057, target_angle: 0.002657, newest_measurement_index: 5808, sent_torque: 0.001800, measured_torque: 0.000313
joint id: 8, measured_angle: 0.025421, target_angle: 0.024821, newest_measurement_index: 5808, sent_torque: -0.000900, measured_torque: -0.007335
joint id: 0, measured_angle: 0.024654, target_angle: 0.025554, newest_measurement_index: 6020, sent_torque: 0.001800, measured_torque: -0.003461
joint id: 1, measured_angle: -0.020558, target_angle: -0.019658, newest_measurement_index: 6086, sent_torque: 0.001796, measured_torque: 0.003218
joint id: 2, measured_angle: -0.004622, target_angle: -0.005522, newest_measurement_index: 6086, sent_torque: -0.001800, measured_torque: -0.001016
joint id: 3, measured_angle: -0.009957, target_angle: -0.009057, newest_measurement_index: 6055, sent_torque: 0.001800, measured_torque: -0.005438
joint id: 4, measured_angle: -0.009155, target_angle: -0.008255, newest_measurement_index: 6132, sent_torque: 0.001800, measured_torque: 0.002944
joint id: 5, measured_angle: 0.016180, target_angle: 0.015280, newest_measurement_index: 6132, sent_torque: -0.001800, measured_torque: -0.001135
