joint id: 0, measured_angle: -0.002390, target_angle: -0.002090, newest_measurement_index: 10850, sent_torque: 0.000000, measured_torque: 0.008535
joint id: 1, measured_angle: -0.116855, target_angle: -0.116555, newest_measurement_index: 11052, sent_torque: 0.000000, measured_torque: 0.003617
joint id: 2, measured_angle: -0.002251, target_angle: -0.002551, newest_measurement_index: 11052, sent_torque: 0.000000, measured_torque: 0.003885
joint id: 3, measured_angle: 0.010896, target_angle: 0.011196, newest_measurement_index: 11182, sent_torque: 0.000000, measured_torque: 0.001319
joint id: 4, measured_angle: -0.002076, target_angle: -0.001776, newest_measurement_index: 11234, sent_torque: 0.000000, measured_torque: 0.014188
joint id: 5, measured_angle: -0.001553, target_angle: -0.001853, newest_measurement_index: 11234, sent_torque: 0.000000, measured_torque: -0.003049
joint id: 6, measured_angle: -0.001100, target_angle: -0.000800, newest_measurement_index: 10768, sent_torque: 0.000000, measured_torque: 0.016730
joint id: 7, measured_angle: -0.109060, target_angle: -0.108760, newest_measurement_index: 10820, sent_torque: 0.000000, measured_torque: -0.005266
joint id: 8, measured_angle: -0.000333, target_angle: -0.000633, newest_measurement_index: 10820, sent_torque: 0.000000, measured_torque: 0.005440
joint id: 0, measured_angle: -0.002390, target_angle: -0.001790, newest_measurement_index: 10850, sent_torque: 0.001500, measured_torque: 0.008535
joint id: 1, measured_angle: -0.116855, target_angle: -0.116255, newest_measurement_index: 11053, sent_torque: 0.001500, measured_torque: -0.003772
joint id: 2, measured_angle: -0.002251, target_angle: -0.002851, newest_measurement_index: 11053, sent_torque: -0.001500, measured_torque: 0.003555
joint id: 3, measured_angle: 0.010896, target_angle: 0.011496, newest_measurement_index: 11183, sent_torque: 0.000900, measured_torque: -0.003603
joint id: 4, measured_angle: -0.002076, target_angle: -0.001476, newest_measurement_index: 11234, sent_torque: 0.000900, measured_torque: 0.014188
joint id: 5, measured_angle: -0.001553, target_angle: -0.002153, newest_measurement_index: 11234, sent_torque: -0.000900, measured_torque: -0.003049
joint id: 6, measured_angle: -0.001100, target_angle: -0.000500, newest_measurement_index: 10769, sent_torque: 0.001808, measured_torque: 0.016730
joint id: 7, measured_angle: -0.109060, target_angle: -0.108460, newest_measurement_index: 10820, sent_torque: 0.001800, measured_torque: -0.005266
joint id: 8, measured_angle: -0.000333, target_angle: -0.000933, newest_measurement_index: 10820, sent_torque: -0.000900, measured_torque: 0.005440
joint id: 0, measured_angle: -0.002390, target_angle: -0.001490, newest_measurement_index: 10908, sent_torque: 0.003000, measured_torque: -0.001069
joint id: 1, measured_angle: -0.116855, target_angle: -0.115955, newest_measurement_index: 11054, sent_torque: 0.003000, measured_torque: 0.001228
joint id: 2, measured_angle: -0.002251, target_angle: -0.003151, newest_measurement_index: 11054, sent_torque: -0.003000, measured_torque: 0.007204
joint id: 3, measured_angle: 0.010896, target_angle: 0.011796, newest_measurement_index: 11183, sent_torque: 0.001800, measured_torque: 0.001677
joint id: 4, measured_angle: -0.002076, target_angle: -0.001176, newest_measurement_index: 11235, sent_torque: 0.001800, measured_torque: -0.001739
joint id: 5, measured_angle: -0.001553, target_angle: -0.002453, newest_measurement_index: 11235, sent_torque: -0.001800, measured_torque: -0.014097
joint id: 6, measured_angle: -0.001100, target_angle: -0.000200, newest_measurement_index: 10770, sent_torque: 0.003600, measured_torque: -0.006367
joint id: 7, measured_angle: -0.109060, target_angle: -0.108160, newest_measurement_index: 10821, sent_torque: 0.003600, measured_torque: 0.002129
joint id: 8, measured_angle: -0.000333, target_angle: -0.001233, newest_measurement_index: 10821, sent_torque: -0.001800, measured_torque: -0.004221
joint id: 0, measured_angle: -0.002390, target_angle: -0.001190, newest_measurement_index: 10908, sent_torque: 0.004500, measured_torque: -0.001069
joint id: 1, measured_angle: -0.116855, target_angle: -0.115655, newest_measurement_index: 11055, sent_torque: 0.004500, measured_torque: 0.001864
joint id: 2, measured_angle: -0.002251, target_angle: -0.003451, newest_measurement_index: 11055, sent_torque: -0.004500, measured_torque: 0.005544
joint id: 3, measured_angle: 0.010896, target_angle: 0.012096, newest_measurement_index: 11185, sent_torque: 0.002700, measured_torque: -0.001971
joint id: 4, measured_angle: -0.002076, target_angle: -0.000876, newest_measurement_index: 11236, sent_torque: 0.002700, measured_torque: 0.002345
joint id: 5, measured_angle: -0.001553, target_angle: -0.002753, newest_measurement_index: 11236, sent_torque: -0.002700, measured_torque: -0.002818
joint id: 6, measured_angle: -0.001100, target_angle: 0.000100, newest_measurement_index: 10771, sent_torque: 0.005400, measured_torque: 0.002683
joint id: 7, measured_angle: -0.109060, target_angle: -0.107860, newest_measurement_index: 10822, sent_torque: 0.005400, measured_torque: 0.001400
joint id: 8, measured_angle: -0.000333, target_angle: -0.001533, newest_measurement_index: 10822, sent_torque: -0.002700, measured_torque: 0.005490
