joint id: 0, measured_angle: -0.002863, target_angle: -0.002563, newest_measurement_index: 11772
joint id: 1, measured_angle: -0.098583, target_angle: -0.098283, newest_measurement_index: 11889
joint id: 2, measured_angle: -0.002181, target_angle: -0.002481, newest_measurement_index: 11889
joint id: 3, measured_angle: -0.001030, target_angle: -0.000730, newest_measurement_index: 9504
joint id: 4, measured_angle: -0.107595, target_angle: -0.107295, newest_measurement_index: 9612
joint id: 5, measured_angle: -0.000507, target_angle: -0.000807, newest_measurement_index: 9612
joint id: 6, measured_angle: 0.008280, target_angle: 0.008580, newest_measurement_index: 9292
joint id: 7, measured_angle: -0.002007, target_angle: -0.001707, newest_measurement_index: 9396
joint id: 8, measured_angle: -0.001867, target_angle: -0.002167, newest_measurement_index: 9396
joint id: 0, measured_angle: -0.002863, target_angle: -0.002263, newest_measurement_index: 11774
joint id: 1, measured_angle: -0.098583, target_angle: -0.097983, newest_measurement_index: 11891
joint id: 2, measured_angle: -0.002181, target_angle: -0.002781, newest_measurement_index: 11891
joint id: 3, measured_angle: -0.001030, target_angle: -0.000430, newest_measurement_index: 9505
joint id: 4, measured_angle: -0.107595, target_angle: -0.106995, newest_measurement_index: 9613
joint id: 5, measured_angle: -0.000507, target_angle: -0.001107, newest_measurement_index: 9613
joint id: 6, measured_angle: 0.008280, target_angle: 0.008880, newest_measurement_index: 9293
joint id: 7, measured_angle: -0.002007, target_angle: -0.001407, newest_measurement_index: 9396
joint id: 8, measured_angle: -0.001867, target_angle: -0.002467, newest_measurement_index: 9396
joint id: 0, measured_angle: -0.002863, target_angle: -0.001963, newest_measurement_index: 11775
joint id: 1, measured_angle: -0.098583, target_angle: -0.097683, newest_measurement_index: 11892
joint id: 2, measured_angle: -0.002181, target_angle: -0.003081, newest_measurement_index: 11892
joint id: 3, measured_angle: -0.001030, target_angle: -0.000130, newest_measurement_index: 9505
joint id: 4, measured_angle: -0.107595, target_angle: -0.106695, newest_measurement_index: 9613
joint id: 5, measured_angle: -0.000507, target_angle: -0.001407, newest_measurement_index: 9613
joint id: 6, measured_angle: 0.008280, target_angle: 0.009180, newest_measurement_index: 9293
joint id: 7, measured_angle: -0.002041, target_angle: -0.001107, newest_measurement_index: 9397
joint id: 8, measured_angle: -0.001867, target_angle: -0.002767, newest_measurement_index: 9397
joint id: 0, measured_angle: -0.002863, target_angle: -0.001663, newest_measurement_index: 11776
joint id: 1, measured_angle: -0.098583, target_angle: -0.097383, newest_measurement_index: 11893
joint id: 2, measured_angle: -0.002181, target_angle: -0.003381, newest_measurement_index: 11893
joint id: 3, measured_angle: -0.001030, target_angle: 0.000170, newest_measurement_index: 9506
joint id: 4, measured_angle: -0.107595, target_angle: -0.106395, newest_measurement_index: 9613
joint id: 5, measured_angle: -0.000507, target_angle: -0.001707, newest_measurement_index: 9613
joint id: 6, measured_angle: 0.008280, target_angle: 0.009480, newest_measurement_index: 9294
joint id: 7, measured_angle: -0.002041, target_angle: -0.000807, newest_measurement_index: 9397
joint id: 8, measured_angle: -0.001867, target_angle: -0.003067, newest_measurement_index: 9397
joint id: 0, measured_angle: -0.002863, target_angle: -0.001363, newest_measurement_index: 11777
joint id: 1, measured_angle: -0.098583, target_angle: -0.097083, newest_measurement_index: 11894
joint id: 2, measured_angle: -0.002181, target_angle: -0.003681, newest_measurement_index: 11894
joint id: 3, measured_angle: -0.001030, target_angle: 0.000470, newest_measurement_index: 9506
joint id: 4, measured_angle: -0.107595, target_angle: -0.106095, newest_measurement_index: 9613
joint id: 5, measured_angle: -0.000507, target_angle: -0.002007, newest_measurement_index: 9613
joint id: 6, measured_angle: 0.008280, target_angle: 0.009780, newest_measurement_index: 9294
joint id: 7, measured_angle: -0.002041, target_angle: -0.000507, newest_measurement_index: 9397
joint id: 8, measured_angle: -0.001867, target_angle: -0.003367, newest_measurement_index: 9397
joint id: 0, measured_angle: -0.002828, target_angle: -0.001063, newest_measurement_index: 11778
joint id: 1, measured_angle: -0.098583, target_angle: -0.096783, newest_measurement_index: 11895
joint id: 2, measured_angle: -0.002181, target_angle: -0.003981, newest_measurement_index: 11895
joint id: 3, measured_angle: -0.001030, target_angle: 0.000770, newest_measurement_index: 9506
joint id: 4, measured_angle: -0.107595, target_angle: -0.105795, newest_measurement_index: 9613
joint id: 5, measured_angle: -0.000507, target_angle: -0.002307, newest_measurement_index: 9613
