joint id: 0, measured_angle: -0.001902, target_angle: -0.001602, newest_measurement_index: 11520
joint id: 1, measured_angle: -0.106847, target_angle: -0.106547, newest_measurement_index: 11633
joint id: 2, measured_angle: -0.002460, target_angle: -0.002760, newest_measurement_index: 11633
joint id: 3, measured_angle: -0.001170, target_angle: -0.000870, newest_measurement_index: 9435
joint id: 4, measured_angle: -0.117150, target_angle: -0.116850, newest_measurement_index: 9545
joint id: 5, measured_angle: -0.000542, target_angle: -0.000842, newest_measurement_index: 9545
joint id: 6, measured_angle: 0.008245, target_angle: 0.008545, newest_measurement_index: 9211
joint id: 7, measured_angle: -0.001832, target_angle: -0.001532, newest_measurement_index: 9316
joint id: 8, measured_angle: -0.001763, target_angle: -0.002063, newest_measurement_index: 9316
joint id: 0, measured_angle: -0.001902, target_angle: -0.001302, newest_measurement_index: 11520
joint id: 1, measured_angle: -0.106847, target_angle: -0.106247, newest_measurement_index: 11633
joint id: 2, measured_angle: -0.002460, target_angle: -0.003060, newest_measurement_index: 11633
joint id: 3, measured_angle: -0.001170, target_angle: -0.000570, newest_measurement_index: 9435
joint id: 4, measured_angle: -0.117150, target_angle: -0.116550, newest_measurement_index: 9545
joint id: 5, measured_angle: -0.000542, target_angle: -0.001142, newest_measurement_index: 9545
joint id: 6, measured_angle: 0.008245, target_angle: 0.008845, newest_measurement_index: 9211
joint id: 7, measured_angle: -0.001832, target_angle: -0.001232, newest_measurement_index: 9316
joint id: 8, measured_angle: -0.001763, target_angle: -0.002363, newest_measurement_index: 9316
joint id: 0, measured_angle: -0.001902, target_angle: -0.001002, newest_measurement_index: 11521
joint id: 1, measured_angle: -0.106847, target_angle: -0.105947, newest_measurement_index: 11634
joint id: 2, measured_angle: -0.002460, target_angle: -0.003360, newest_measurement_index: 11634
joint id: 3, measured_angle: -0.001170, target_angle: -0.000270, newest_measurement_index: 9435
joint id: 4, measured_angle: -0.117150, target_angle: -0.116250, newest_measurement_index: 9545
joint id: 5, measured_angle: -0.000542, target_angle: -0.001442, newest_measurement_index: 9545
joint id: 6, measured_angle: 0.008245, target_angle: 0.009145, newest_measurement_index: 9212
joint id: 7, measured_angle: -0.001832, target_angle: -0.000932, newest_measurement_index: 9316
joint id: 8, measured_angle: -0.001763, target_angle: -0.002663, newest_measurement_index: 9316
joint id: 0, measured_angle: -0.001902, target_angle: -0.000702, newest_measurement_index: 11522
joint id: 1, measured_angle: -0.106847, target_angle: -0.105647, newest_measurement_index: 11635
joint id: 2, measured_angle: -0.002460, target_angle: -0.003660, newest_measurement_index: 11635
joint id: 3, measured_angle: -0.001170, target_angle: 0.000030, newest_measurement_index: 9435
joint id: 4, measured_angle: -0.117150, target_angle: -0.115950, newest_measurement_index: 9546
joint id: 5, measured_angle: -0.000542, target_angle: -0.001742, newest_measurement_index: 9546
joint id: 6, measured_angle: 0.008245, target_angle: 0.009445, newest_measurement_index: 9212
joint id: 7, measured_angle: -0.001832, target_angle: -0.000632, newest_measurement_index: 9316
joint id: 8, measured_angle: -0.001763, target_angle: -0.002963, newest_measurement_index: 9316
joint id: 0, measured_angle: -0.001902, target_angle: -0.000402, newest_measurement_index: 11523
joint id: 1, measured_angle: -0.106847, target_angle: -0.105347, newest_measurement_index: 11636
joint id: 2, measured_angle: -0.002460, target_angle: -0.003960, newest_measurement_index: 11636
joint id: 3, measured_angle: -0.001170, target_angle: 0.000330, newest_measurement_index: 9436
joint id: 4, measured_angle: -0.117150, target_angle: -0.115650, newest_measurement_index: 9546
joint id: 5, measured_angle: -0.000542, target_angle: -0.002042, newest_measurement_index: 9546
joint id: 6, measured_angle: 0.008245, target_angle: 0.009745, newest_measurement_index: 9213
joint id: 7, measured_angle: -0.001832, target_angle: -0.000332, newest_measurement_index: 9317
joint id: 8, measured_angle: -0.001763, target_angle: -0.003263, newest_measurement_index: 9317
joint id: 0, measured_angle: -0.001902, target_angle: -0.000102, newest_measurement_index: 11524
joint id: 1, measured_angle: -0.106847, target_angle: -0.105047, newest_measurement_index: 11637
joint id: 2, measured_angle: -0.002460, target_angle: -0.004260, newest_measurement_index: 11637
joint id: 3, measured_angle: -0.001170, target_angle: 0.000630, newest_measurement_index: 9436
joint id: 4, measured_angle: -0.117150, target_angle: -0.115350, newest_measurement_index: 9547
joint id: 5, measured_angle: -0.000542, target_angle: -0.002342, newest_measurement_index: 9547
joint id: 6, measured_angle: 0.008245, target_angle: 0.010045, newest_measurement_index: 9213
joint id: 7, measured_angle: -0.001832, target_angle: -0.000032, newest_measurement_index: 9318
joint id: 8, measured_angle: -0.001763, target_angle: -0.003563, newest_measurement_index: 9318
joint id: 0, measured_angle: -0.001902, target_angle: 0.000198, newest_measurement_index: 11525
joint id: 1, measured_angle: -0.106847, target_angle: -0.104747, newest_measurement_index: 11638
joint id: 2, measured_angle: -0.002460, target_angle: -0.004560, newest_measurement_index: 11638
joint id: 3, measured_angle: -0.001170, target_angle: 0.000930, newest_measurement_index: 9437
joint id: 4, measured_angle: -0.117150, target_angle: -0.115050, newest_measurement_index: 9547
joint id: 5, measured_angle: -0.000542, target_angle: -0.002642, newest_measurement_index: 9547
joint id: 6, measured_angle: 0.008245, target_angle: 0.010345, newest_measurement_index: 9213
joint id: 7, measured_angle: -0.001832, target_angle: 0.000268, newest_measurement_index: 9318
joint id: 8, measured_angle: -0.001763, target_angle: -0.003863, newest_measurement_index: 9318
joint id: 0, measured_angle: -0.001867, target_angle: 0.000498, newest_measurement_index: 11526
joint id: 1, measured_angle: -0.106847, target_angle: -0.104447, newest_measurement_index: 11639
joint id: 2, measured_angle: -0.002460, target_angle: -0.004860, newest_measurement_index: 11639
joint id: 3, measured_angle: -0.001170, target_angle: 0.001230, newest_measurement_index: 9437
joint id: 4, measured_angle: -0.117150, target_angle: -0.114750, newest_measurement_index: 9547
joint id: 5, measured_angle: -0.000542, target_angle: -0.002942, newest_measurement_index: 9547
joint id: 6, measured_angle: 0.008245, target_angle: 0.010645, newest_measurement_index: 9214
joint id: 7, measured_angle: -0.001832, target_angle: 0.000568, newest_measurement_index: 9318
joint id: 8, measured_angle: -0.001763, target_angle: -0.004163, newest_measurement_index: 9318
joint id: 0, measured_angle: -0.001867, target_angle: 0.000798, newest_measurement_index: 11527
joint id: 1, measured_angle: -0.106847, target_angle: -0.104147, newest_measurement_index: 11640
joint id: 2, measured_angle: -0.002495, target_angle: -0.005160, newest_measurement_index: 11640
joint id: 3, measured_angle: -0.001170, target_angle: 0.001530, newest_measurement_index: 9437
joint id: 4, measured_angle: -0.117150, target_angle: -0.114450, newest_measurement_index: 9547
